"시점",M2(평잔 원계열),M2(평잔 원계열),M2(평잔 원계열)
"시점",원데이터,전월 대비 증감,증감률
"2018.01",2551196.0,23554.7,0.9
"2018.02",2570764.6,19568.6,0.8
"2018.03",2578361.8,7597.2,0.3
"2018.04",2590840.7,12478.9,0.5
"2018.05",2600274.3,9433.6,0.4
"2018.06",2622268.3,21994.0,0.8
"2018.07",2637421.8,15153.5,0.6
"2018.08",2651503.4,14081.6,0.5
"2018.09",2652829.5,1326.1,0.1
"2018.10",2674506.5,21677.0,0.8
"2018.11",2692974.8,18468.3,0.7
"2018.12",2699882.3,6907.5,0.3
"2019.01",2716722.0,16839.7,0.6
"2019.02",2730481.9,13759.9,0.5
"2019.03",2752723.9,22242.0,0.8
"2019.04",2763058.0,10334.1,0.4
"2019.05",2771633.0,8575.0,0.3
"2019.06",2799248.0,27615.0,1.0
"2019.07",2811543.7,12295.7,0.4
"2019.08",2832566.1,21022.4,0.7
"2019.09",2853272.0,20705.9,0.7
"2019.10",2874176.1,20904.1,0.7
"2019.11",2901465.4,27289.3,0.9
"2019.12",2912434.1,10968.7,0.4
"2020.01",2929009.2,16575.1,0.6
"2020.02",2954603.8,25594.6,0.9
"2020.03",2984304.3,29700.5,1.0
"2020.04",3015816.4,31512.1,1.1
"2020.05",3046050.5,30234.1,1.0
"2020.06",3077284.1,31233.6,1.0
"2020.07",3093300.1,16016.0,0.5
"2020.08",3100373.4,7073.3,0.2
"2020.09",3115238.9,14865.5,0.5
"2020.10",3152811.6,37572.7,1.2
"2020.11",3183500.9,30689.3,1.0
"2020.12",3197671.2,14170.3,0.4
"2021.01",3223486.7,25815.5,0.8
"2021.02",3271405.8,47919.1,1.5
"2021.03",3313182.2,41776.4,1.3
"2021.04",3358874.9,45692.7,1.4
"2021.05",3379753.9,20879.0,0.6
"2021.06",3413899.8,34145.9,1.0
"2021.07",3445243.0,31343.2,0.9
"2021.08",3487634.1,42391.1,1.2
"2021.09",3513680.6,26046.5,0.7
"2021.10",3543363.7,29683.1,0.8
"2021.11",3594723.2,51359.5,1.4
"2021.12",3620057.4,25334.2,0.7
"2022.01",3634342.4,14285.0,0.4
"2022.02",3656135.8,21793.4,0.6
"2022.03",3672133.4,15997.6,0.4
"2022.04",3675828.7,3695.3,0.1
"2022.05",3694489.3,18660.6,0.5
"2022.06",3714135.0,19645.7,0.5
"2022.07",3720323.0,6188.0,0.2
"2022.08",3737433.5,17110.5,0.5
"2022.09",3744736.0,7302.5,0.2
"2022.10",3752856.2,8120.2,0.2
"2022.11",3788208.2,35352.0,0.9
"2022.12",3781386.2,-6822.0,-0.2
